ruleID,message,sentence,replacements,offsetInContext,context,offset,errorLength,category,ruleIssueType,Dataset_ID,Dataset_Name,Dataset_Long_Name
MORFOLOGIK_RULE_EN_US,Possible spelling mistake found.,This dataset is a compilation of mesozooplankton biomass data collected using various gear types and mesh sizes.,[],33,This dataset is a compilation of mesozooplankton biomass data collected using various ge...,33,15,TYPOS,misspelling,512,NOAA_COPEPOD,NOAA COPEPOD Global Zooplankton Database
MORFOLOGIK_RULE_EN_US,Possible spelling mistake. ‘standardised’ is British English.,"The different biomass and volumetric methods have been standardised to a unit of carbon biomass using conversion equations found in (Moriarty & O'Brien, 2013).",['standardized'],43,...iomass and volumetric methods have been standardised to a unit of carbon biomass using conve...,168,12,TYPOS,misspelling,512,NOAA_COPEPOD,NOAA COPEPOD Global Zooplankton Database
MORFOLOGIK_RULE_EN_US,Possible spelling mistake found.,Total dissolved siderophore concentrations at Station ALOHA in the Pacific Ocean collected using trace metal clean X-Niskin bottles deployed on a non-metallic line.,['Manikin'],43,...Ocean collected using trace metal clean X-Niskin bottles deployed on a non-metallic line...,115,8,TYPOS,misspelling,511,dissolved_siderophore,Seasonal Siderophore Concentrations at Station Aloha
MORFOLOGIK_RULE_EN_US,Possible spelling mistake found.,Samples were collected as part of the Simons Collaboration on Ocean Processes (SCOPE).,"[""Simon's"", 'Simon', 'Simmons', 'Simone', 'Simony', 'Simona', 'Simón']",43,.... Samples were collected as part of the Simons Collaboration on Ocean Processes (SCOPE...,203,6,TYPOS,misspelling,511,dissolved_siderophore,Seasonal Siderophore Concentrations at Station Aloha
MORFOLOGIK_RULE_EN_US,Possible spelling mistake found.,"The data includes cell abundance, cell size (equivalent spherical diameter), carbon quota, and carbon biomass for picophytoplankton populations, namely the cyanobacteria Prochlorococcus, Synechococcus, and and small eukaryotic phytoplankton (<5 µm ESD).",[],43,"...), carbon quota, and carbon biomass for picophytoplankton populations, namely the cyanobacteria P...",459,17,TYPOS,misspelling,510,Influx_Underway_TN398_2021,Discrete Flow Cytometry of Underway Samples from TN398 Using a BD Influx Cell Sorter
MORFOLOGIK_RULE_EN_US,Possible spelling mistake found.,"The data includes cell abundance, cell size (equivalent spherical diameter), carbon quota, and carbon biomass for picophytoplankton populations, namely the cyanobacteria Prochlorococcus, Synechococcus, and and small eukaryotic phytoplankton (<5 µm ESD).",[],43,"...n populations, namely the cyanobacteria Prochlorococcus, Synechococcus, and and small eukaryoti...",515,15,TYPOS,misspelling,510,Influx_Underway_TN398_2021,Discrete Flow Cytometry of Underway Samples from TN398 Using a BD Influx Cell Sorter
MORFOLOGIK_RULE_EN_US,Possible spelling mistake found.,"The data includes cell abundance, cell size (equivalent spherical diameter), carbon quota, and carbon biomass for picophytoplankton populations, namely the cyanobacteria Prochlorococcus, Synechococcus, and and small eukaryotic phytoplankton (<5 µm ESD).",[],43,"...mely the cyanobacteria Prochlorococcus, Synechococcus, and and small eukaryotic phytoplankton...",532,13,TYPOS,misspelling,510,Influx_Underway_TN398_2021,Discrete Flow Cytometry of Underway Samples from TN398 Using a BD Influx Cell Sorter
ENGLISH_WORD_REPEAT_RULE,Possible typo: you repeated a word,"The data includes cell abundance, cell size (equivalent spherical diameter), carbon quota, and carbon biomass for picophytoplankton populations, namely the cyanobacteria Prochlorococcus, Synechococcus, and and small eukaryotic phytoplankton (<5 µm ESD).",['and'],43,"...acteria Prochlorococcus, Synechococcus, and and small eukaryotic phytoplankton (<5 µm E...",547,7,MISC,duplication,510,Influx_Underway_TN398_2021,Discrete Flow Cytometry of Underway Samples from TN398 Using a BD Influx Cell Sorter
MORFOLOGIK_RULE_EN_US,Possible spelling mistake found.,"The data set consists of SeaFlow-based cell abundance, cell size (equivalent spherical diameter), cellular carbon content and total carbon biomass for picophytoplankton populations, namely the cyanobacteria Prochlorococcus, Synechococcus and small-sized Crocosphaera (2-5 µm), and small eukaryotic phytoplankton (< 5µm ESD).",[],25,"The data set consists of SeaFlow-based cell abundance, cell size (equivalent s...",25,13,TYPOS,misspelling,509,all_SeaFlow_cruises_v1_5,"SeaFlow-Based Abundance, Cell Size, Carbon Quotas and Biomass of Prochlorococcus, Synechococcus, Crocospheara and Small Picoeuks (< 5 micron)"
MORFOLOGIK_RULE_EN_US,Possible spelling mistake found.,"The data set consists of SeaFlow-based cell abundance, cell size (equivalent spherical diameter), cellular carbon content and total carbon biomass for picophytoplankton populations, namely the cyanobacteria Prochlorococcus, Synechococcus and small-sized Crocosphaera (2-5 µm), and small eukaryotic phytoplankton (< 5µm ESD).",[],43,"...on content and total carbon biomass for picophytoplankton populations, namely the cyanobacteria P...",151,17,TYPOS,misspelling,509,all_SeaFlow_cruises_v1_5,"SeaFlow-Based Abundance, Cell Size, Carbon Quotas and Biomass of Prochlorococcus, Synechococcus, Crocospheara and Small Picoeuks (< 5 micron)"
MORFOLOGIK_RULE_EN_US,Possible spelling mistake found.,"The data set consists of SeaFlow-based cell abundance, cell size (equivalent spherical diameter), cellular carbon content and total carbon biomass for picophytoplankton populations, namely the cyanobacteria Prochlorococcus, Synechococcus and small-sized Crocosphaera (2-5 µm), and small eukaryotic phytoplankton (< 5µm ESD).",[],43,"...n populations, namely the cyanobacteria Prochlorococcus, Synechococcus and small-sized Crocosph...",207,15,TYPOS,misspelling,509,all_SeaFlow_cruises_v1_5,"SeaFlow-Based Abundance, Cell Size, Carbon Quotas and Biomass of Prochlorococcus, Synechococcus, Crocospheara and Small Picoeuks (< 5 micron)"
